19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/01, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/02, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/attendance, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.vali
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/deadline, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valida
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/no_import, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valid
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/solution_size, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.v
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/01, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/02, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\second homework
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2024-12-17 10:39:36.695612
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\first homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\first homework
19:45:25 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\Алёна\Documents\prac\sample\repo\teacher\first homework
